site_no,nwsli,cdec_id,cdec_station_name,usgs_station_name_xwalk,cdec_group,cdec_basin,county,nws_flood_stage_ft,crosswalk_source,crosswalk_note,cnrfc_channel,cnrfc_location,cnrfc_nickname,cnrfc_gage_class1,cnrfc_gage_class2
11507500,KLLO3,NA,NA,"Link River At Klamath Falls, Or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Link River,Klamath Falls,Link River - Klamath Falls,river,other
11510700,BOYO3,NA,NA,"Klamath River Blw John C.boyle Pwrplnt, Nr Keno,or",NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Klamath River,Below JC Boyle Power Plant,Klamath River - Below JC Boyle Power Plant,river,other
11516530,IRGC1,KIG,Klamath River Below Iron Gate Dam,Klamath R Bl Iron Gate Dam Ca,North Coast,Klamath R,Siskiyou,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Klamath River,Iron Gate,Klamath River - Iron Gate,river,other
11517000,TAGC1,SRM,Shasta River Near Montague,Shasta R Nr  Montague Ca,North Coast,Shasta R,Siskiyou,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Shasta River,Montague,Shasta River - Montague,river,other
11517500,YREC1,SRY,Shasta River Near Yreka,Shasta R Nr Yreka Ca,North Coast,Shasta R,Siskiyou,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Shasta River,Yreka,Shasta River - Yreka,river,other
11519500,FTJC1,SFJ,Scott River Near Fort Jones,Scott R Nr Fort Jones Ca,North Coast,Klamath R,Siskiyou,15,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Scott River,Fort Jones,Scott River - Fort Jones,river,forecast
11520500,SEIC1,KSV,Klamath River Near Seiad Valley,Klamath R Nr Seiad Valley Ca,North Coast,Klamath R,Siskiyou,15,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Klamath River,Seiad Valley,Klamath River - Seiad Valley,river,forecast
11521500,HAPC1,IHC,Indian Creek Near Happy Camp,Indian C Nr Happy Camp Ca,North Coast,Klamath R,Siskiyou,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Indian Creek,Happy Camp,Indian Creek - Happy Camp,river,other
11522500,SBRC1,SMS,Salmon River At Somes Bar,Salmon R A Somes Bar Ca,North Coast,Salmon R,Siskiyou,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Salmon River,Somes Bar,Salmon River - Somes Bar,river,other
11523000,ONSC1,OLS,Klamath River At Orleans,Klamath R A Orleans,North Coast,Klamath R,Humboldt,38,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Klamath River,Orleans,Klamath River - Orleans,river,forecast
11523200,TCCC1,TRC,Trinity R Abv Coffee Cr Nr Trinity Ctr,Trinity R Ab Coffee C Nr Trinity Center Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Above Coffee Creek,Trinity River - Above Coffee Creek,river,other
11525500,LLKC1,NA,NA,Trinity R A Lewiston Ca,NA,NA,NA,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Lewiston Lake,Trinity River - Lewiston Lake,reservoir,reservoir
11525530,RCLC1,RCL,Rush Creek Near Lewiston,Rush C Nr Lewiston Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Rush Creek,Lewiston,Rush Creek - Lewiston,river,other
11525630,GVCC1,GVC,Grass Valley Ck Nr Lewiston,Grass Valley C Nr Lewiston Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Grass Valley Creek,Lewiston,Grass Valley Creek - Lewiston,river,other
11525655,TLKC1,TLK,Trinity River Below Limekiln Gulch,Trinity R Bl Limekiln Gulch Nr Douglas City Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Below Limekiln Gulch,Trinity River - Below Limekiln Gulch,river,other
11525670,ICDC1,ICD,Indian Ck Nr Douglas City,Indian C Nr Douglas City Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Indian Creek,Douglas City,Indian Creek - Douglas City,river,other
11525854,DCYC1,DGC,Trinity River At Douglas City,Trinity R A Douglas City Ca,North Coast,Trinity R,Trinity,NA,01_raw_data/cdec/cdec_usgs_cnrfc.csv,Legacy CDEC/USGS/CNRFC crosswalk used for link enrichment only. CNRFC cache metadata joined by NWSLI.,Trinity River,Douglas City,Trinity River - Douglas City,river,other
